source	chromosome	n_cells	seg_id	bin_start	bin_end	seg_length	Mb_start	Mb_end	mean_rate	median_level	median_level_left	median_level_right	delta_left_median	delta_right_median	log2fc_left	log2fc_right	srd_left	srd_right	srd_phi_left	srd_phi_right	pooled_phi	proposal	proposed_boundary_bin
cluster2	chr7	603	10	774	823	49	85200001.0	90000001.1	2.9801	2.4475	4.6456	3.584	-0.9246	-0.5503	-0.7758	-0.4107	-5.5273	-3.471	-6.0376	-3.7914	0.8381	keep_focal	
cluster3	chr7	556	1	79	104	25	8300001.0	10700001.1	1.4381	1.2808	2.8053	4.1844	-1.1311	-1.708	-1.1651	-1.7109	-5.004	-8.4666	-4.3235	-7.3152	1.3395	keep_focal	
cluster3	chr7	556	3	302	391	89	30600001.0	39400001.1	2.7555	2.2842	4.1844	3.2558	-0.8734	-0.5113	-0.7728	-0.43	-7.8388	-3.7833	-6.7729	-3.2688	1.3395	merge_right	391.0
cluster3	chr7	556	5	509	529	20	51400001.0	53500001.1	0.8919	0.6887	3.2558	2.5682	-2.241	-1.8988	-2.0572	-1.5933	-7.4486	-5.1839	-6.4357	-4.479	1.3395	keep_focal	
cluster3	chr7	556	6	529	598	69	53600001.0	67300001.1	2.6913	2.5682	0.6887	0.369	1.8988	2.799	1.5933	2.8212	5.1839	8.1272	4.479	7.0221	1.3395	keep_focal	
cluster3	chr7	556	7	598	624	26	67400001.0	69900001.1	0.3808	0.369	2.5682	0.568	-2.799	-0.6223	-2.8212	-1.4789	-8.1272	-3.1057	-7.0221	-2.6834	1.3395	merge_right	624.0
cluster3	chr7	556	8	624	658	34	70000001.0	73300001.1	1.0614	0.568	0.369	3.0625	0.6223	-2.4306	1.4789	-1.7397	3.1057	-7.5221	2.6834	-6.4993	1.3395	merge_left	624.0
cluster3	chr7	556	9	658	712	54	73400001.0	78900001.1	3.5448	3.0625	0.568	4.9468	2.4306	-0.6918	1.7397	-0.744	7.5221	-5.9166	6.4993	-5.1121	1.3395	ambiguous_keep	
cluster3	chr7	556	10	712	774	62	79000001.0	85100001.1	5.9368	4.9468	3.0625	2.8804	0.6918	0.7802	0.744	0.8262	5.9166	5.221	5.1121	4.511	1.3395	keep_focal	
cluster3	chr7	556	11	774	802	28	85200001.0	87900001.1	3.3483	2.8804	4.9468	1.7121	-0.7802	0.7505	-0.8262	0.6379	-5.221	2.4964	-4.511	2.1569	1.3395	merge_right	802.0
cluster3	chr7	556	12	802	823	21	88000001.0	90000001.1	2.1519	1.7121	2.8804	3.5004	-0.7505	-1.0318	-0.6379	-0.9364	-2.4964	-4.7847	-2.1569	-4.1341	1.3395	merge_left	802.0
cluster3	chr7	556	14	1209	1232	23	129200001.0	131400001.1	5.8375	4.9323	3.5004	2.8498	0.4947	0.7914	0.5034	0.9037	3.6985	5.9627	3.1956	5.1519	1.3395	merge_left	1209.0
cluster4	chr7	182	1	79	104	25	8300001.0	10700001.1	1.0188	0.9191	2.8502	3.9756	-1.6328	-2.1129	-1.6606	-2.1416	-6.4716	-9.511	-6.057	-8.9017	1.1416	keep_focal	
cluster4	chr7	182	4	509	529	20	51400001.0	53500001.1	0.8723	0.6628	2.8375	2.612	-2.0979	-1.9785	-1.9467	-1.5949	-7.0152	-5.133	-6.5657	-4.8042	1.1416	keep_focal	
cluster4	chr7	182	5	529	598	69	53600001.0	67300001.1	2.6351	2.612	0.6628	0.3135	1.9785	3.0584	1.5949	2.9974	5.133	8.2801	4.8042	7.7496	1.1416	keep_focal	
cluster4	chr7	182	6	598	624	26	67400001.0	69900001.1	0.33	0.3135	2.612	0.9761	-3.0584	-1.6384	-2.9974	-1.9182	-8.2801	-4.0389	-7.7496	-3.7802	1.1416	keep_focal	
cluster4	chr7	182	7	624	658	34	70000001.0	73300001.1	1.2472	0.9761	0.3135	2.6636	1.6384	-1.4482	1.9182	-1.4195	4.0389	-6.312	3.7802	-5.9076	1.1416	ambiguous_keep	
cluster4	chr7	182	8	658	712	54	73400001.0	78900001.1	3.3363	2.6636	0.9761	4.5108	1.4482	-0.76	1.4195	-0.6622	6.312	-5.0384	5.9076	-4.7156	1.1416	ambiguous_keep	
cluster4	chr7	182	9	712	774	62	79000001.0	85100001.1	5.2795	4.5108	2.6636	1.9666	0.76	1.1977	0.6622	0.9293	5.0384	6.5519	4.7156	6.1321	1.1416	keep_focal	
cluster4	chr7	182	10	774	823	49	85200001.0	90000001.1	2.7723	1.9666	4.5108	3.4429	-1.1977	-0.8079	-0.9293	-0.5342	-6.5519	-4.3725	-6.1321	-4.0923	1.1416	keep_focal	
cluster4	chr7	182	13	1366	1392	26	145400001.0	148100001.1	1.0726	0.9041	3.0475	2.3725	-1.753	-1.3918	-1.567	-1.3293	-6.5379	-5.258	-6.119	-4.9211	1.1416	keep_focal	
all	chr8	3460	2	875	934	59	97500001.0	103400001.1	5.069	4.238	3.1613	3.2189	0.4229	0.3968	0.481	0.3981	5.2549	3.6423	4.3546	3.0183	1.4562	merge_right	934.0
all	chr8	3460	5	1239	1285	46	134100001.0	138600001.1	1.7006	0.9243	5.6243	4.4925	-2.6053	-2.2811	-1.882	-1.5112	-13.5976	-8.9649	-11.2681	-7.4291	1.4562	keep_focal	
cluster0	chr8	1286	2	875	934	59	97500001.0	103400001.1	4.8626	4.1195	3.0677	3.0604	0.4253	0.4287	0.4582	0.4103	4.9168	3.6696	4.0302	3.0079	1.4883	merge_right	934.0
cluster0	chr8	1286	5	1239	1285	46	134100001.0	138600001.1	1.6833	0.8888	5.5028	4.3485	-2.6303	-2.2907	-1.8651	-1.4898	-13.372	-8.7609	-10.9609	-7.1812	1.4883	keep_focal	
cluster1	chr8	833	2	875	934	59	97500001.0	103400001.1	4.7715	4.0523	2.9936	2.8429	0.4369	0.5114	0.4477	0.427	4.7649	3.7731	3.7776	2.9913	1.591	merge_right	934.0
cluster1	chr8	833	5	1239	1285	46	134100001.0	138600001.1	1.5518	0.7566	5.2976	4.273	-2.8077	-2.4976	-1.9676	-1.5767	-13.7596	-9.0344	-10.9086	-7.1625	1.591	keep_focal	
cluster2	chr8	603	3	995	1048	53	109700001.0	114900001.1	3.2495	3.0883	3.8157	5.5055	-0.3051	-0.8341	-0.3934	-0.9084	-3.1633	-8.3249	-3.1986	-8.4178	0.978	merge_left	995.0
cluster2	chr8	603	5	1239	1259	20	134100001.0	136000001.1	3.3258	2.8311	5.5055	0.957	-0.9595	1.5647	-0.8749	1.8134	-5.2755	5.7082	-5.3344	5.7719	0.978	ambiguous_keep	
cluster2	chr8	603	6	1259	1285	26	136100001.0	138600001.1	0.9463	0.957	2.8311	5.1351	-1.5647	-2.4237	-1.8134	-2.3442	-5.7082	-9.7	-5.7719	-9.8083	0.978	keep_focal	
cluster3	chr8	556	2	876	916	40	97600001.0	101600001.1	5.3919	5.1946	3.0673	3.4127	0.76	0.6061	0.5882	0.3869	5.4562	3.2781	4.233	2.5432	1.6615	merge_right	916.0
cluster3	chr8	556	5	1239	1285	46	134100001.0	138600001.1	1.5146	0.891	5.3873	4.3277	-2.5961	-2.2801	-2.0734	-1.7212	-14.5386	-9.9836	-11.2791	-7.7454	1.6615	keep_focal	
cluster4	chr8	182	2	396	416	20	42900001.0	47100001.1	1.5936	1.2761	3.2129	6.1107	-1.3321	-2.2596	-1.2062	-2.1436	-5.3603	-10.6256	-3.8927	-7.7165	1.8961	keep_focal	
cluster4	chr8	182	4	565	589	24	62300001.0	65400001.1	2.71	1.886	6.1107	5.5349	-1.696	-1.5532	-1.3775	-1.3175	-8.6349	-7.8781	-6.2708	-5.7212	1.8961	keep_focal	
cluster4	chr8	182	5	589	675	86	65500001.0	74300001.1	6.7544	5.5349	1.886	3.2156	1.5532	0.7835	1.3175	0.9619	7.8781	6.2763	5.7212	4.5579	1.8961	keep_focal	
cluster4	chr8	182	6	675	700	25	74400001.0	76900001.1	3.4675	3.2156	5.5349	6.7184	-0.7835	-1.063	-0.9619	-1.1673	-6.2763	-8.5467	-4.5579	-6.2068	1.8961	keep_focal	
cluster4	chr8	182	8	1239	1259	20	134100001.0	136000001.1	3.8073	2.5929	6.7184	0.8627	-1.3735	1.5877	-1.0324	2.1433	-6.9829	6.8376	-5.0711	4.9656	1.8961	ambiguous_keep	
cluster4	chr8	182	9	1259	1285	26	136100001.0	138600001.1	0.8618	0.8627	2.5929	5.8941	-1.5877	-2.7724	-2.1433	-2.8901	-6.8376	-12.5006	-4.9656	-9.0781	1.8961	keep_focal	
all	chr9	3460	1	71	94	23	7200001.0	12400001.1	0.8768	0.7754	3.3385	2.9621	-2.1062	-1.9336	-2.08	-2.008	-7.6844	-7.534	-6.9431	-6.8072	1.2249	keep_focal	
all	chr9	3460	2	94	194	100	12500001.0	22600001.1	3.5266	2.9621	0.7754	1.2746	1.9336	1.2166	2.008	0.9529	7.534	4.4851	6.8072	4.0524	1.2249	keep_focal	
all	chr9	3460	3	194	218	24	22700001.0	26600001.1	1.8219	1.2746	2.9621	3.237	-1.2166	-1.3446	-0.9529	-1.035	-4.4851	-5.2713	-4.0524	-4.7628	1.2249	keep_focal	
all	chr9	3460	5	660	689	29	100600001.0	103400001.1	1.6613	1.3339	3.237	2.2428	-1.279	-0.7497	-1.1681	-0.7073	-6.3308	-2.7806	-5.7201	-2.5124	1.2249	merge_right	689.0
all	chr9	3460	6	689	721	32	103500001.0	106600001.1	2.7124	2.2428	1.3339	4.5166	0.7497	-1.0099	0.7073	-0.8179	2.7806	-5.1492	2.5124	-4.6525	1.2249	merge_left	689.0
all	chr9	3460	7	721	816	95	106700001.0	116200001.1	4.7816	4.5166	2.2428	2.0124	1.0099	1.1663	0.8179	1.0989	5.1492	7.1328	4.6525	6.4447	1.2249	keep_focal	
all	chr9	3460	8	816	856	40	116300001.0	120200001.1	2.2324	2.0124	4.5166	3.7861	-1.1663	-0.9118	-1.0989	-0.8711	-7.1328	-5.6227	-6.4447	-5.0803	1.2249	keep_focal	
cluster0	chr9	1286	1	192	218	26	22500001.0	26600001.1	1.7637	1.1694	2.7401	3.1779	-1.2285	-1.4424	-0.8954	-1.0741	-4.4438	-5.6217	-3.8397	-4.8575	1.3394	keep_focal	
cluster0	chr9	1286	3	660	689	29	100600001.0	103400001.1	1.6184	1.2901	3.1779	2.2102	-1.3006	-0.7767	-1.1981	-0.7434	-6.4351	-2.9024	-5.5603	-2.5078	1.3394	merge_right	689.0
cluster0	chr9	1286	4	689	721	32	103500001.0	106600001.1	2.7093	2.2102	1.2901	4.4296	0.7767	-1.003	0.7434	-0.8286	2.9024	-5.2218	2.5078	-4.512	1.3394	merge_left	689.0
cluster0	chr9	1286	5	721	816	95	106700001.0	116200001.1	4.8117	4.4296	2.2102	1.9146	1.003	1.2101	0.8286	1.116	5.2218	7.2426	4.512	6.258	1.3394	keep_focal	
cluster0	chr9	1286	6	816	856	40	116300001.0	120200001.1	2.22	1.9146	4.4296	3.8546	-1.2101	-1.0095	-1.116	-0.877	-7.2426	-5.6503	-6.258	-4.8822	1.3394	keep_focal	
cluster1	chr9	833	1	72	94	22	7300001.0	12400001.1	0.7384	0.6766	3.4093	3.0306	-2.3331	-2.1632	-2.3563	-2.3029	-8.2054	-8.1423	-6.701	-6.6495	1.4994	keep_focal	
cluster1	chr9	833	2	94	194	100	12500001.0	22600001.1	3.6433	3.0306	0.6766	1.2574	2.1632	1.2692	2.3029	0.9361	8.1423	4.4936	6.6495	3.6698	1.4994	keep_focal	
cluster1	chr9	833	3	194	218	24	22700001.0	26600001.1	1.9042	1.2574	3.0306	3.2369	-1.2692	-1.3642	-0.9361	-0.9933	-4.4936	-5.1897	-3.6698	-4.2382	1.4994	keep_focal	
cluster2	chr9	603	1	71	94	23	7200001.0	12400001.1	0.9584	0.8898	3.4342	3.1479	-1.9484	-1.8228	-1.9538	-1.9201	-7.3981	-7.336	-7.7487	-7.6837	0.9116	keep_focal	
cluster2	chr9	603	2	94	178	84	12500001.0	20800001.1	3.627	3.1479	0.8898	1.734	1.8228	0.8603	1.9201	0.799	7.336	4.7064	7.6837	4.9294	0.9116	keep_focal	
cluster2	chr9	603	3	178	218	40	20900001.0	26600001.1	2.0846	1.734	3.1479	3.3312	-0.8603	-0.9419	-0.799	-0.8218	-4.7064	-5.6234	-4.9294	-5.8898	0.9116	keep_focal	
cluster3	chr9	556	1	194	218	24	22700001.0	26600001.1	1.7769	1.2652	2.7267	2.9096	-1.1078	-1.2015	-0.8685	-0.9402	-4.1593	-4.1249	-3.4414	-3.4129	1.4608	keep_focal	
cluster3	chr9	556	2	218	276	58	26700001.0	32400001.1	3.4095	2.9096	1.2652	4.6764	1.2015	-0.6846	0.9402	-0.555	4.1249	-4.1584	3.4129	-3.4406	1.4608	ambiguous_keep	
cluster3	chr9	556	3	276	331	55	32500001.0	38100001.1	5.0091	4.6764	2.9096	1.878	0.6846	1.3162	0.555	1.203	4.1584	6.0409	3.4406	4.9982	1.4608	keep_focal	
cluster3	chr9	556	4	331	355	24	38200001.0	69500001.1	2.1758	1.878	4.6764	3.1034	-1.3162	-0.7246	-1.203	-0.7326	-6.0409	-3.88	-4.9982	-3.2103	1.4608	merge_right	355.0
cluster3	chr9	556	6	660	690	30	100600001.0	103500001.1	1.5907	1.3587	3.1034	1.978	-1.1916	-0.5418	-1.1845	-0.6774	-6.3266	-2.5987	-5.2345	-2.1502	1.4608	merge_right	690.0
cluster3	chr9	556	7	690	721	31	103600001.0	106600001.1	2.5439	1.978	1.3587	4.452	0.5418	-1.1704	0.6774	-0.9423	2.5987	-5.7794	2.1502	-4.7818	1.4608	merge_left	690.0
cluster3	chr9	556	8	721	816	95	106700001.0	116200001.1	4.8883	4.452	1.978	1.831	1.1704	1.2818	0.9423	1.278	5.7794	8.1037	4.7818	6.7049	1.4608	keep_focal	
cluster3	chr9	556	9	816	856	40	116300001.0	120200001.1	2.0158	1.831	4.452	3.7295	-1.2818	-1.0263	-1.278	-1.0596	-8.1037	-6.6842	-6.7049	-5.5304	1.4608	keep_focal	
cluster4	chr9	182	1	164	219	55	19500001.0	26700001.1	2.2012	1.6983	2.8735	3.1691	-0.7588	-0.9	-0.6016	-0.7276	-4.3341	-5.876	-3.7677	-5.1082	1.3232	keep_focal	
cluster2	chr13	603	1	51	100	49	24500001.0	29300001.1	3.2523	3.1271	3.2263	3.9075	-0.045	-0.3214	0.2388	-0.3883	1.4323	-3.2572	1.596	-3.6294	0.8054	merge_left	51.0
cluster2	chr13	603	3	333	353	20	52700001.0	59900001.1	1.6791	1.2801	3.9075	2.3488	-1.61	-0.8757	-1.3421	-0.6172	-6.1743	-2.2508	-6.8798	-2.508	0.8054	merge_right	353.0
cluster2	chr13	603	4	353	396	43	60000001.0	64200001.1	2.5755	2.3488	1.2801	3.5827	0.8757	-0.6091	0.6172	-0.6769	2.2508	-5.1347	2.508	-5.7213	0.8054	merge_left	353.0
cluster3	chr13	556	3	325	350	25	51900001.0	59600001.1	1.9371	1.1834	4.4291	2.4311	-1.904	-1.0386	-1.3881	-0.4039	-7.3939	-1.6642	-6.6418	-1.495	1.2393	merge_right	350.0
cluster3	chr13	556	4	350	395	45	59700001.0	64100001.1	2.5629	2.4311	1.1834	3.6223	1.0386	-0.5753	0.4039	-0.7018	1.6642	-5.303	1.495	-4.7636	1.2393	merge_left	350.0
